All Clear,2010,Connie Willis (1945-)
And Then There Were None,1939,Agatha Christie (1890-1976)
Beloved,1987,Toni Morrison (1931-)
Blackout,2010,Connie Willis (1945-)
Elmer Gantry,1927,Sinclair Lewis (1885-)
Emma,1815,Jane Austen (1775-1817)
Good Omens,1990,Neil Gaiman (1960-) and Terry Pratchett (1948-2015)
Jane Eyre,1847,Charlotte Brontë (1816-1855)
Leave it to Psmith,1923,Pelham Grenville Wodehouse (1881-1975)
Love in the Time of Cholera,1985,Gabriel García Márquez (1927-2014)
The Fire Next Time,1963,James Baldwin (1924-1987)
Main Street,1920,Sinclair Lewis (1885-1951)
Mirror Dance,1994,Lois McMaster Bujold (1949-)
1Q84,2009,Haruki Murakami (1949-)
Moby Dick,1851,Herman Melville (1819-1891)
Murder on the Orient Express,1934,Agatha Christie (1890-1976)
"Fine, Thanks",2019,Mary Dunnewold (1962-)
Neverwhere,1996,Neil Gaiman (1960-)
Omoo,1847,Herman Melville (1819-1891)
The Kite Runner,2003,Khaled Hosseini (1965-)
Boys and Sex,2020,Peggy Orenstein (1961-)
Schoolgirls,1994,Peggy Orenstein (1961-)
One Hundred Years of Solitude,1967,Gabriel García Márquez (1927-2014)
Pride and Prejudice,1813,Jane Austen (1775-1817)
Hard-Boiled Wonderland and the End of the World,1985,Haruki Murakami (1949-)
"Right Ho, Jeeves",1934,Pelham Grenville Wodehouse (1881-1975)
Sense and Sensibility,1813,Jane Austen (1775-1817)
Shards of Honor,1986,Lois McMaster Bujold (1949-)
Sula,1973,Toni Morrison (1931-)
The Code of the Woosters,1938,Pelham Grenville Wodehouse (1881-1975)
The Tenant of Wildfell Hall,1848,Ann Brontë (1820-1849)
Girls and Sex,2016,Peggy Orenstein (1961-)
Thief of Time,1996,Terry Pratchett (1948-2015)
To Say Nothing of the Dog,1997,Connie Willis (1945-)
Villette,1853,Charlotte Brontë (1816-1855)
A Wild Sheep Chase,1982,Haruki Murakami (1949-)
Wuthering Heights,1847,Emily Brontë (1818-1848)
"The Life and Opinions of Tristram Shandy, Gentleman",1759,Laurence Sterne (1713-1768)
If Beale Street Could Talk,1974,James Baldwin (1924-1987)
"There, There",2018,Tommy Orange (1982-)
