0,Toy Story,"[16, 35, 10751]"
1,Jumanji,"[12, 14, 10751]"
2,Grumpier Old Men,"[10749, 35]"
3,Waiting to Exhale,"[35, 18, 10749]"
4,Father of the Bride Part II,[35]
5,Heat,"[28, 80, 18, 53]"
6,Sabrina,"[35, 10749]"
7,Tom and Huck,"[28, 12, 18, 10751]"
8,Sudden Death,"[28, 12, 53]"
9,GoldenEye,"[12, 28, 53]"
10,The American President,"[35, 18, 10749]"
11,Dracula: Dead and Loving It,"[35, 27]"
12,Balto,"[10751, 16, 12]"
13,Nixon,"[36, 18]"
14,Cutthroat Island,"[28, 12]"
15,Casino,"[18, 80]"
16,Sense and Sensibility,"[18, 10749]"
17,Four Rooms,"[80, 35]"
18,Ace Ventura: When Nature Calls,"[80, 35, 12]"
19,Money Train,"[28, 35, 80]"
20,Get Shorty,"[35, 53, 80]"
21,Copycat,"[18, 53]"
22,Assassins,"[28, 12, 80, 53]"
23,Powder,"[18, 14, 878, 53]"
24,Leaving Las Vegas,"[18, 10749]"
25,Othello,[18]
26,Now and Then,"[35, 18, 10751]"
27,Persuasion,"[18, 10749]"
28,The City of Lost Children,"[14, 878, 12]"
29,Shanghai Triad,"[18, 80]"
30,Dangerous Minds,"[18, 80]"
31,Twelve Monkeys,"[878, 53, 9648]"
32,Wings of Courage,"[10749, 12]"
33,Babe,"[14, 18, 35, 10751]"
34,Carrington,"[36, 18, 10749]"
35,Dead Man Walking,[18]
36,Across the Sea of Time,"[12, 36, 18, 10751]"
37,It Takes Two,"[35, 10751, 10749]"
38,Clueless,"[35, 18, 10749]"
39,"Cry, the Beloved Country",[18]
40,Richard III,"[18, 10752]"
41,Dead Presidents,"[28, 80, 18, 36]"
42,Restoration,"[18, 10749]"
43,Mortal Kombat,"[28, 14]"
44,To Die For,"[14, 18, 35, 53]"
45,How To Make An American Quilt,"[18, 10749]"
46,Se7en,"[80, 9648, 53]"
47,Pocahontas,"[12, 16, 18, 10751]"
48,When Night Is Falling,"[18, 10749]"
49,The Usual Suspects,"[18, 80, 53]"
50,Guardian Angel,"[28, 53, 18]"
51,Mighty Aphrodite,"[35, 10749]"
52,Lamerica,"[18, 10769]"
53,The Big Green,"[28, 12, 35, 10751]"
54,Georgia,[18]
55,Kids of the Round Table,[]
56,Home for the Holidays,"[35, 18, 10749]"
57,The Postman,"[35, 18, 10749]"
58,The Confessional,"[53, 18, 9648]"
59,The Indian in the Cupboard,"[12, 10751, 14]"
60,Eye for an Eye,"[18, 53]"
61,Mr. Holland's Opus,"[10402, 18, 10751]"
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,[35]
63,Two If by Sea,"[35, 10749]"
64,Bio-Dome,[35]
65,Lawnmower Man 2: Beyond Cyberspace,"[28, 878]"
66,Two Bits,"[18, 10751]"
67,French Twist,"[35, 10749]"
68,Friday,[35]
69,From Dusk Till Dawn,"[27, 28, 53, 80]"
70,Fair Game,"[28, 53, 10749]"
71,Kicking and Screaming,"[35, 18, 10749]"
72,Les Miserables,"[18, 36]"
73,Bed of Roses,"[18, 10749]"
74,Big Bully,"[35, 10751]"
75,Screamers,"[27, 878]"
76,Nico Icon,[99]
77,The Crossing Guard,"[18, 53]"
78,The Juror,"[18, 53]"
79,The White Balloon,"[10751, 18]"
80,Things to Do in Denver When You're Dead,"[18, 80]"
81,Antonia's Line,"[18, 35]"
82,Once Upon a Time... When We Were Colored,"[10749, 18]"
83,Last Summer in the Hamptons,[]
84,Angels and Insects,"[18, 10749]"
85,White Squall,"[28, 18]"
86,Dunston Checks In,"[12, 35, 10751]"
87,Black Sheep,[35]
88,Nick of Time,"[80, 18, 53]"
89,The Journey of August King,[18]
90,Mary Reilly,"[18, 27, 53, 10749]"
91,Vampire in Brooklyn,"[35, 27, 10749]"
92,Beautiful Girls,"[35, 18, 10749]"
93,Broken Arrow,"[28, 12, 18, 53]"
94,A Midwinter's Tale,[35]
95,La Haine,[18]
96,Shopping,"[28, 12, 18, 878, 53]"
97,Heidi Fleiss: Hollywood Madam,[99]
98,City Hall,"[18, 53]"
99,Bottle Rocket,"[35, 80, 18]"
100,Mr. Wrong,"[35, 10749]"
101,Unforgettable,"[18, 9648, 878, 53]"
102,Happy Gilmore,[35]
103,The Bridges of Madison County,"[18, 10749]"
104,Nobody Loves Me,"[18, 35, 10751]"
105,Muppet Treasure Island,"[28, 35, 10402, 10751, 12]"
106,Catwalk,[99]
107,Headless Body in Topless Bar,[80]
108,Braveheart,"[28, 18, 36, 10752]"
109,Taxi Driver,"[80, 18]"
110,Rumble in the Bronx,"[80, 28, 35, 53]"
111,Before and After,"[18, 53]"
112,Margaret's Museum,[18]
113,Happiness Is in the Field,[35]
114,Anne Frank Remembered,"[99, 18, 10769]"
115,The Young Poisoner's Handbook,"[35, 80, 18]"
116,If Lucy Fell,"[35, 10749]"
